42 57 | 71 73
88 46 85 1 46 94 | 81 98 8 72 94 55
35 93 19 72 | 95 93 19 47
53 73 48 41 18 44 | 49 13 17 40 69 72
23 64 | 21 92
56 41 | 72 98
19 99 42 | 60 8 70
60 16 83 0 | 78 80 34 2
91 | 54
73 47 | 15 72
87 49 | 84 79
25 40 2 58 23 73 | 34 73 93 45 24 35
45 86 57 11 71 37 | 60 74 26 79 68 74
38 88 70 | 34 52 20
14 3 37 54 51 86 59 4 | 82 99 5 55 44 81 51 38
33 97 20 10 | 11 56 92 74
8 97 30 54 12 21 66 50 31 | 36 4 90 33 2 0 83 97 97
96 6 1 | 96 97 39
43 40 6 5 19 | 19 19 86 90 71
8 76 91 55 88 20 59 | 96 50 27 89 20 83 36
84 40 58 66 82 | 78 83 11 54 36
99 57 75 50 | 69 68 30 1
56 31 28 21 68 43 | 22 27 46 53 54 66
41 41 56 5 | 65 16 44 58
43 46 | 59 39
82 46 77 56 41 17 | 35 67 53 8 13 77
67 89 | 81 0
68 93 25 20 | 4 37 48 99
90 38 26 | 64 4 25
60 79 27 67 15 42 | 68 24 69 41 16 98
67 93 0 70 56 39 26 14 | 46 81 56 63 51 4 80 32
58 57 55 38 4 | 68 40 14 1 58
8 10 62 | 80 49 44
52 38 81 60 55 65 89 40 8 31 | 5 31 75 44 70 49 90 40 59 24
3 39 65 49 43 59 18 0 | 88 75 16 41 19 54 1 43
0 1 2 3 4 5 6 7 8 9 | 1 2 3 4 5 6 7 8 9 10
82 43 35 48 43 71 76 46 22 | 29 80 12 5 23 50 65 65 94
17 35 73 60 0 73 6 81 23 | 61 59 44 13 7 69 33 39 74
6 19 | 73 0
28 96 32 32 53 24 38 9 3 | 65 51 29 18 31 4 89 91 40
